"Nom","Population","Code Postale"
"Beaurainville","2071","62100"
"Beugin","466","62120"
"Festubert","1268","62330"
"Beaurainville","2071","62100"
"Beugin","466","62120"
"Festubert","1268","62330"
"Beaurainville","2071","62100"
"Beugin","466","62120"
"Festubert","1268","62330"
"Abbeville","22895","80001"
"Beaurainville","2071","62100"
"Beugin","466","62120"
"Festubert","1268","62330"
"Beugn?tre","174","62121"
"Beaurainville","2071","62100"
"Beugin","466","62120"
"Festubert","1268","62330"
"Beugny","358","62122"
"Beaurainville","2071","62100"
"Beugin","466","62120"
"Festubert","1268","62330"
"Beussent","537","62123"
